Word,Log_Freq_HAL,I_Mean_RT
accredited,6.956,773.906
accrue,6.415,704.895
accrued,5.438,851.083
accrues,4.143,917.333
accruing,5.043,897.143
acculturated,3.178,"1,061.474"
acculturation,3.555,"1,047.947"
accumulate,7.238,734.088
accumulated,7.667,748.265
accumulates,5.517,749.781
accumulating,6.315,776.412
accumulation,7.095,859.879
accuracy,9.262,615.970
accurate,9.975,728.242
accurately,8.593,807.219
accurst,1.386,914.900
accusation,7.685,819.062
accusations,8.154,763.733
accusative,4.635,"1,071.368"
accuse,8.242,626.364
accused,9.115,661.969
accuses,6.696,758.700
accusing,7.739,743.545
accusingly,3.664,809.742
accustom,4.317,751.480
accustomed,7.433,735.719
ace,8.849,579.029
acerbic,4.331,829.889
aces,7.516,768.935
acetate,6.304,856.654
acetone,6.047,793.042
acetylene,4.407,"1,084.000"
ache,6.741,631.655
ached,5.690,797.036
aches,6.038,683.774
achieve,9.651,702.818
achieved,9.025,700.094
achievement,8.275,746.676
achievements,7.643,700.364
achieves,6.636,757.226
achieving,8.065,657.167
Achilles,6.534,751.192
aching,7.002,799.600
acid,9.519,615.688
acidic,6.696,753.846
acidity,5.545,738.667
acids,7.752,636.750
acknowledge,8.822,771.375
acknowledged,8.278,810.853
acknowledgement,7.508,735.759
acknowledges,6.973,951.515
acknowledging,7.103,857.812
acknowledgment,6.854,850.667
acknowledgments,6.014,917.357
acme,6.815,772.000
acne,6.284,627.938
acolyte,6.096,731.182
acorn,9.024,721.963
acorns,5.883,735.067
acoustic,8.594,793.438
acoustical,5.598,855.690
acoustically,5.056,988.346
acoustics,7.123,789.033
acquaint,5.118,858.733
acquaintance,7.151,807.452
acquainted,6.930,796.606
acquiesce,4.682,881.842
acquiesced,4.710,934.500
acquiescence,4.511,927.750
acquiescent,2.944,714.000
acquire,8.784,673.939
acquired,8.762,710.000
acquires,6.131,748.424
acquiring,7.577,731.742
acquisition,8.518,785.594
acquisitions,7.001,779.121
acquisitive,3.689,908.643
acquisitiveness,1.386,"1,216.812"
acquit,4.605,832.440
acquittal,5.517,905.538
acquitted,6.410,802.061
acre,7.349,723.000
acreage,5.442,"1,018.000"
acres,8.276,679.030
acrid,4.710,762.294
acrimonious,4.727,"1,115.455"
acrimony,4.489,784.500
acrobat,7.803,755.879
acrobatic,5.118,832.781
acrobatics,5.994,958.933
acrobats,4.190,715.182
acronym,7.584,831.333
Acropolis,4.691,905.000
across,11.040,589.471
acrylic,6.738,782.812
act,11.187,635.182
acted,8.496,652.758
acting,9.681,584.812
action,11.261,564.125
actions,10.300,643.750
activate,8.157,657.353
activated,8.085,752.125
activating,6.485,700.471
activation,7.559,806.543
active,10.479,632.743
actively,8.868,703.781
activism,7.351,653.091
activist,8.168,697.688
activities,10.397,713.267
activity,10.184,714.839
actor,9.256,539.970
actors,8.889,647.871
actor's,5.894,588.294
actress,8.516,687.529
actresses,7.416,860.758
acts,9.874,590.343
actual,10.619,623.324
actualities,3.638,833.857
actuality,6.856,829.000
actually,12.188,647.273
actuary,3.892,711.667
acuity,5.429,862.467
acupuncture,6.263,853.200
acute,7.794,649.529
acutely,5.805,818.933
acuteness,2.944,874.469
ad,10.675,740.939
Ada,9.644,882.824
adage,6.221,769.846
Adam,9.885,602.121
adamant,6.436,823.000
adamantly,5.796,836.000
Adam's,6.612,611.765
adapt,8.128,660.364
adaptability,5.434,893.607
adaptable,6.687,899.621
adaptation,7.601,804.500
adaptations,6.234,825.938
adapted,8.039,684.818
adapter,9.621,813.588
adapters,8.445,811.636
adapting,6.592,754.364
Ada's,5.112,926.579
add,11.643,657.545
added,11.036,644.000
addendum,7.200,936.312
adder,5.861,732.000
addict,7.543,600.903
addicted,7.745,661.727
addiction,8.142,628.286
addicts,7.554,722.969
adding,10.089,648.364
addition,10.757,601.690
additional,10.933,678.939
additionally,8.803,820.394
additions,9.135,718.515
additive,6.806,711.355
additives,7.143,782.394
addle,1.946,"1,107.125"
address,12.308,582.303
addressed,9.404,673.314
addressee,5.438,944.864
addressees,4.605,763.759
addresses,10.472,757.774
addressing,8.874,689.758
adds,9.382,632.206
adduce,4.466,748.667
Adele,5.357,881.286
adept,7.470,759.208
adequacy,6.009,780.643
adequate,9.009,674.688
adequately,7.963,698.240
adhere,7.566,720.667
adhered,5.958,781.909
adherence,6.806,880.560
adherent,4.963,823.792
adherents,6.540,912.074
adheres,5.572,822.821
adhesion,5.932,912.417
adhesive,6.844,787.212
adhesives,5.075,766.379
adieu,4.956,900.136
adios,6.203,746.421
adipose,4.820,887.357
adirondack,5.864,981.100
adirondacks,4.779,917.214
adjacent,8.101,748.121
adjectival,3.664,"1,051.000"
adjective,6.952,671.355
