Word,Log_Freq_HAL,I_Mean_RT
accosting,0.6990,838.542
account,3.3581,619.382
accountability,1.3979,821.206
accountable,1.8633,729.333
accountant,2.4997,817.188
accountants,1.7482,742.857
accounted,2.1903,664.829
accounting,2.3636,632.088
accounts,2.7284,644.917
accredit,3.555,839.708
accreditation,1.0000,975.0
accredited,1.2304,773.906
accrue,0.6990,704.895
accrued,1.1461,851.083
accrues,4.143,917.333
accruing,0.4771,897.143
acculturated,3.178,1061.474
acculturation,3.555,1047.947
accumulate,1.4771,734.088
accumulated,1.6021,748.265
accumulates,1.0792,749.781
accumulating,1.2788,776.412
accumulation,1.1461,859.879
accuracy,1.8865,615.97
accurate,2.6031,728.242
accurately,1.7709,807.219
accurst,1.386,914.9
accusation,2.1584,819.062
accusations,2.1875,763.733
accusative,4.635,1071.368
accuse,2.4639,626.364
accused,2.8241,661.969
accuses,1.5051,758.7
accusing,2.4031,743.545
accusingly,3.664,809.742
accustom,0.8451,751.48
accustomed,2.1761,735.719
ace,8.849,579.029
acerbic,0.6990,829.889
aces,2.3075,768.935
acetate,0.8451,856.654
acetone,0.9542,793.042
acetylene,1.3802,1084.0
ache,2.1072,631.655
ached,1.2304,797.036
aches,1.8921,683.774
achieve,2.5740,702.818
achieved,2.3424,700.094
achievement,2.2529,746.676
achievements,1.7482,700.364
achieves,1.2304,757.226
achieving,1.5798,657.167
Achilles,2.0645,751.192
aching,2.0253,799.6
acid,2.7067,615.688
acidic,1.0792,753.846
acidity,1.0414,738.667
acids,1.6335,636.75
acknowledge,2.4969,771.375
acknowledged,2.0043,810.853
acknowledgement,1.3424,735.759
acknowledges,1.1461,951.515
acknowledging,1.5682,857.812
acknowledgment,1.4314,850.667
acknowledgments,6.014,917.357
acme,6.815,772.0
acne,1.6721,627.938
acolyte,0.9031,731.182
acorn,1.5798,721.963
acorns,5.883,735.067
acoustic,1.6990,793.438
acoustical,0.8451,855.69
acoustically,5.056,988.346
acoustics,1.3617,789.033
acquaint,1.3222,858.733
acquaintance,2.4378,807.452
acquainted,2.3655,796.606
acquiesce,0.6021,881.842
acquiesced,0.7782,934.5
acquiescence,0.7782,927.75
acquiescent,2.944,714.0
acquire,2.1335,673.939
acquired,2.3598,710.0
acquires,0.9542,748.424
acquiring,1.6435,731.742
acquisition,1.8751,785.594
acquisitions,1.5315,779.121
acquisitive,0.6021,908.643
acquisitiveness,1.386,1216.812
acquit,1.3979,832.44
acquittal,1.5798,905.538
acquitted,1.8976,802.061
acre,1.9731,723.0
acreage,1.3617,1018.0
acres,2.3711,679.03
acrid,0.4771,762.294
acrimonious,0.9031,1115.455
acrimony,1.0792,784.5
acrobat,1.4914,755.879
acrobatic,1.1139,832.781
acrobatics,1.0792,958.933
acrobats,1.3010,715.182
acronym,1.2041,831.333
Acropolis,0.8451,905.0
across,3.6814,589.471
acrylic,1.3802,782.812
act,3.7455,635.182
acted,2.7396,652.758
acting,3.4275,584.812
action,3.4936,564.125
actions,2.7931,643.75
activate,2.3784,657.353
activated,2.3444,752.125
activating,1.6532,700.471
activation,1.6435,806.543
active,2.7672,632.743
actively,1.6335,703.781
activism,1.0000,653.091
activist,1.7076,697.688
activities,2.6435,713.267
activity,2.8182,714.839
actor,3.1284,539.97
actors,2.8096,647.871
actor's,5.894,588.294
actress,2.9128,687.529
actresses,2.0645,860.758
acts,2.8041,590.343
actual,2.9469,623.324
actualities,3.638,833.857
actuality,1.3979,829.0
actually,4.2159,647.273
actuary,0.9031,711.667
acuity,1.1761,862.467
acupuncture,1.5798,853.2
acute,2.1790,649.529
acutely,1.1761,818.933
acuteness,2.944,874.469
ad,2.8420,740.939
Ada,9.644,882.824
adage,1.5185,769.846
Adam,3.2767,602.121
adamant,1.7076,823.0
adamantly,0.4771,836.0
Adam's,6.612,611.765
adapt,2.1303,660.364
adaptability,0.9031,893.607
adaptable,1.2553,899.621
adaptation,7.601,804.5
adaptations,0.6021,825.938
adapted,1.7559,684.818
adapter,1.0792,813.588
adapters,8.445,811.636
adapting,1.4472,754.364
Ada's,5.112,926.579
add,3.2271,657.545
added,2.6928,644.0
addendum,1.2041,936.312
adder,5.861,732.0
addict,2.4378,600.903
addicted,2.3655,661.727
addiction,2.3010,628.286
addicts,2.0294,722.969
adding,2.3139,648.364
addition,2.5977,601.69
additional,2.4786,678.939
additionally,8.803,820.394
additions,1.0792,718.515
additive,1.0792,711.355
additives,1.0414,782.394
addle,1.946,1107.125
address,3.4260,582.303
addressed,2.2900,673.314
addressee,0.8451,944.864
addressees,4.605,763.759
addresses,2.2122,757.774
addressing,2.0334,689.758
adds,2.3054,632.206
adduce,4.466,748.667
Adele,5.357,881.286
adept,1.5315,759.208
adequacy,6.009,780.643
adequate,2.1239,674.688
adequately,1.4472,698.24
adhere,1.4771,720.667
adhered,0.8451,781.909
adherence,1.0000,880.56
adherent,0.6021,823.792
adherents,6.54,912.074
adheres,0.6021,822.821
adhesion,0.8451,912.417
adhesive,1.6812,787.212
adhesives,5.075,766.379
